City,State,Population, Density ,DPF,Latitude,Longitude,Median HHInc
Salt Lake City,Utah,193744,1678,325.1,,,
Fairfield,California,114756,2817,323.27,,,
Greeley,Colorado,103990,3107,323.1,,,
Little Rock,Arkansas,198541,1624,322.43,,,
Carlsbad,California,113952,2792,318.15,,,
Evansville,Indiana,119477,2660,317.81,,,
Provo,Utah,116868,2699,315.43,,,
Lafayette,Louisiana,127626,2450,312.68,,,
Frisco,Texas,163656,1893,309.8,,,
Birmingham,Alabama,212157,1453,308.26,,,
Thousand Oaks,California,128888,2302,296.7,,,
Scottsdale,Arizona,246645,1182,291.53,,,
Olathe,Kansas,135473,2110,285.85,,,
Fayetteville,North Carolina,204759,1375,281.54,,,
Odessa,Texas,117871,2382,280.77,,,
Sandy Springs,Georgia,105703,2613,276.2,,,
Lewisville,Texas,104659,2618,274,,,
Peoria,Illinois,114265,2396,273.78,,,
Mobile,Alabama,192904,1403,270.64,,,
Topeka,Kansas,126808,2119,268.71,,,
Davie[33],Florida,101871,2637,268.63,,,
Port St. Lucie,Florida,185132,1444,267.33,,,
Gainesville,Florida,131591,2028,266.87,,,
Lancaster,California,160106,1661,265.94,,,
Billings,Montana,110323,2399,264.66,,,
Jackson,Mississippi,169148,1563,264.38,,,
Cape Coral,Florida,179804,1460,262.51,,,
Fargo,North Dakota,120762,2162,261.09,,,
Murfreesboro,Tennessee,131947,1965,259.28,,,
Montgomery,Alabama,200022,1290,258.03,,,
South Bend,Indiana,101735,2440,248.23,,,
Brownsville,Texas,183823,1323,243.2,,,
Wilmington,North Carolina,117525,2068,243.04,,,
Green Bay,Wisconsin,105139,2289,240.66,,,
Jurupa Valley,California,103541,2272,235.25,,,
Cedar Rapids,Iowa,131127,1784,233.93,,,
Palmdale,California,157356,1442,226.91,,,
Springfield,Illinois,115715,1954,226.11,,,
Rochester,Minnesota,114011,1956,223.01,,,
College Station,Texas,112141,1978,221.81,,,
Pueblo,Colorado,110291,1987,219.15,,,
Chattanooga,Tennessee,177571,1223,217.17,,,
Pearland,Texas,113570,1900,215.78,,,
High Point,North Carolina,111223,1940,215.77,,,
Midland,Texas,134610,1542,207.57,,,
Columbia,Missouri,120612,1720,207.45,,,
Clarksville,Tennessee,150287,1362,204.69,,,
League City,Texas,102010,1924,196.27,,,
West Palm Beach,Florida,108161,1807,195.45,,,
Savannah,Georgia,146763,1321,193.87,,,
Victorville,California,122265,1584,193.67,,,
Waco,Texas,134432,1403,188.61,,,
Tyler,Texas,104798,1782,186.75,,,
Lakeland,Florida,106420,1711,182.08,,,
Kansas City,Kansas,151709,1168,177.2,,,
Independence,Missouri,117030,1506,176.25,,,
Columbus,Georgia,197485,878,173.39,,,
Palm Bay,Florida,110104,1571,172.97,,,
Denton,Texas,133808,1289,172.48,,,
Broken Arrow,Oklahoma,107403,1605,172.38,,,
Beaumont,Texas,118299,1429,169.05,,,
Huntsville,Alabama,193079,862,166.43,,,
San Angelo,Texas,100702,1640,165.15,,,
Davenport,Iowa,102612,1584,162.54,,,
Chesapeake,Virginia,237940,652,155.14,,,
North Charleston,South Carolina,109298,1393,152.25,,,
Wichita Falls,Texas,104724,1449,151.75,,,
Charleston,South Carolina,134385,1102,148.09,,,
Surprise,Arizona,132677,1111,147.4,,,
Peoria,Arizona,164173,883,144.96,,,
Abilene,Texas,122225,1096,133.96,,,
Columbia,South Carolina,134309,978,131.35,,,
Las Cruces,New Mexico,101759,1279,130.15,,,
Augusta,Georgia,197081,647,127.51,,,
Athens,Georgia,123371,992,122.38,,,
Macon,Georgia,152555,614,93.67,,,
Norman,Oklahoma,122180,621,75.87,,,
Anchorage,Alaska,298192,171,50.99,,,
